Step,Value
50,0.112199999
100,0.146699995
150,0.161699995
200,0.169200003
250,0.172199994
300,0.174700007
350,0.181099996
400,0.190699995
450,0.187099993
500,0.187999994
550,0.188500002
600,0.188500002
650,0.189199999
700,0.187800005
750,0.187900007
800,0.188999996
850,0.187900007
900,0.187299997
950,0.190699995
1000,0.189999998
1050,0.188500002
1100,0.186499998
1150,0.187999994
1200,0.183500007
1250,0.1875
1300,0.1875
1350,0.187000006
1400,0.185399994
1450,0.184400007
1500,0.183200002
1550,0.186399996
1600,0.186499998
1650,0.178200006
1700,0.178499997
1750,0.179299995
1800,0.184100002
1850,0.184
1900,0.188700005
1950,0.190799996
2000,0.190099999
2050,0.189099997
2100,0.187399998
2150,0.184699997
2200,0.187299997
2250,0.182999998
2300,0.181400001
2350,0.188500002
2400,0.183599994
2450,0.1866
2500,0.182699993
2550,0.182899997
2600,0.183799997
2650,0.183599994
2700,0.180700004
2750,0.181600004
2800,0.185499996
2850,0.192000002
2900,0.191200003
2950,0.190099999
3000,0.192100003
3050,0.191100001
3100,0.188999996
3150,0.191200003
3200,0.188899994
3250,0.193200007
3300,0.195199996
3350,0.190699995
3400,0.186800003
3450,0.192200005
3500,0.189999998
3550,0.194900006
3600,0.193700001
3650,0.198100001
