Step,Value
50,0.112599999
100,0.146300003
150,0.159700006
200,0.166199997
250,0.169499993
300,0.171399996
350,0.1787
400,0.188600004
450,0.183799997
500,0.185100004
550,0.185100004
600,0.185299993
650,0.186100006
700,0.185200006
750,0.185100004
800,0.185900003
850,0.184900001
900,0.184599996
950,0.188299999
1000,0.187000006
1050,0.185100004
1100,0.185000002
1150,0.186199993
1200,0.181899995
1250,0.185900003
1300,0.185800001
1350,0.185299993
1400,0.1831
1450,0.182699993
1500,0.182500005
1550,0.184400007
1600,0.184499994
1650,0.177599996
1700,0.178100005
1750,0.178599998
1800,0.183500007
1850,0.182999998
1900,0.187999994
1950,0.190400004
2000,0.189600006
2050,0.187800005
2100,0.187299997
2150,0.183799997
2200,0.186299995
2250,0.183699995
2300,0.180399999
2350,0.188199997
2400,0.182699993
2450,0.185399994
2500,0.1822
2550,0.182300001
2600,0.182799995
2650,0.182500005
2700,0.179800004
2750,0.181400001
2800,0.184900001
2850,0.190799996
2900,0.189999998
2950,0.188099995
3000,0.190200001
3050,0.188500002
3100,0.186900005
3150,0.190300003
3200,0.187000006
3250,0.191599995
3300,0.193100005
3350,0.189099997
3400,0.184699997
3450,0.189799994
3500,0.187700003
3550,0.192900002
3600,0.191799998
3650,0.196400002
