Step,Value
50,0.111599997
100,0.144700006
150,0.158600003
200,0.165399998
250,0.169300005
300,0.171000004
350,0.1778
400,0.187900007
450,0.183699995
500,0.184599996
550,0.184900001
600,0.185100004
650,0.185599998
700,0.185200006
750,0.185000002
800,0.185699999
850,0.184100002
900,0.184699997
950,0.188099995
1000,0.186800003
1050,0.184900001
1100,0.184200004
1150,0.186000004
1200,0.181400001
1250,0.185399994
1300,0.185800001
1350,0.185200006
1400,0.182500005
1450,0.181799993
1500,0.1822
1550,0.183699995
1600,0.184200004
1650,0.176799998
1700,0.177200004
1750,0.177499995
1800,0.182600006
1850,0.182400003
1900,0.187299997
1950,0.189899996
2000,0.189300001
2050,0.187299997
2100,0.1866
2150,0.183500007
2200,0.185800001
2250,0.182600006
2300,0.180500001
2350,0.187600002
2400,0.182099998
2450,0.185200006
2500,0.181799993
2550,0.181899995
2600,0.182400003
2650,0.182600006
2700,0.179199994
2750,0.180899993
2800,0.184799999
2850,0.190300003
2900,0.190099999
2950,0.188199997
3000,0.190300003
3050,0.188600004
3100,0.186800003
3150,0.189700007
3200,0.187399998
3250,0.191200003
3300,0.1928
3350,0.188999996
3400,0.185000002
3450,0.189999998
3500,0.187900007
3550,0.192699999
3600,0.191300005
3650,0.195899993
